one= 0 (-nan) five= 0 (-nan) ten= 0 (-nan) distintos= 0 (-nan)
one= 172 (0.458667) five= 213 (0.568) ten= 236 (0.629333) distintos= 28 (0.0746667)
one= 260 (0.286659) five= 341 (0.375965) ten= 385 (0.424476) distintos= 178 (0.196251)
one= 247 (0.272026) five= 331 (0.364537) ten= 376 (0.414097) distintos= 177 (0.194934)
one= 261 (0.288717) five= 346 (0.382743) ten= 384 (0.424779) distintos= 172 (0.190265)
one= 261 (0.288079) five= 341 (0.37638) ten= 384 (0.423841) distintos= 173 (0.190949)
one= 265 (0.287419) five= 347 (0.376356) ten= 390 (0.422993) distintos= 177 (0.191974)
one= 255 (0.283648) five= 332 (0.369299) ten= 377 (0.419355) distintos= 175 (0.194661)
one= 264 (0.29366) five= 346 (0.384872) ten= 390 (0.433815) distintos= 164 (0.182425)
one= 255 (0.281457) five= 333 (0.36755) ten= 379 (0.418322) distintos= 176 (0.19426)
one= 260 (0.285714) five= 338 (0.371429) ten= 384 (0.421978) distintos= 175 (0.192308)
one= 257 (0.282108) five= 335 (0.367728) ten= 380 (0.417124) distintos= 174 (0.190999)
one= 244 (0.529284) five= 297 (0.644252) ten= 345 (0.748373) distintos= 2 (0.00433839)
one= 250 (0.539957) five= 297 (0.641469) ten= 340 (0.734341) distintos= 3 (0.00647948)
one= 242 (0.521552) five= 292 (0.62931) ten= 332 (0.715517) distintos= 5 (0.0107759)
one= 255 (0.557987) five= 295 (0.645514) ten= 341 (0.746171) distintos= 3 (0.00656455)
one= 238 (0.515152) five= 288 (0.623377) ten= 345 (0.746753) distintos= 4 (0.00865801)
one= 260 (0.554371) five= 303 (0.646055) ten= 353 (0.752665) distintos= 2 (0.00426439)
one= 232 (0.512141) five= 278 (0.613687) ten= 329 (0.726269) distintos= 3 (0.00662252)
one= 248 (0.531049) five= 295 (0.631692) ten= 349 (0.747323) distintos= 2 (0.00428266)
one= 251 (0.538627) five= 294 (0.630901) ten= 344 (0.738197) distintos= 2 (0.00429185)
one= 245 (0.538462) five= 297 (0.652747) ten= 343 (0.753846) distintos= 2 (0.0043956)
one= 44 (0.0285344) five= 271 (0.175746) ten= 459 (0.297665) distintos= 101 (0.0654994)
one= 42 (0.0273794) five= 283 (0.184485) ten= 471 (0.30704) distintos= 103 (0.0671447)
one= 44 (0.028479) five= 306 (0.198058) ten= 492 (0.318447) distintos= 107 (0.0692557)
one= 35 (0.0228013) five= 275 (0.179153) ten= 463 (0.301629) distintos= 101 (0.065798)
