mayor= 0 (-nan) menor= 0 (-nan) igual= 0 (-nan)
mayor= 13 (0.65) menor= 2 (0.1) igual= 5 (0.25)
mayor= 12 (0.6) menor= 3 (0.15) igual= 5 (0.25)
mayor= 13 (0.619048) menor= 3 (0.142857) igual= 5 (0.238095)
mayor= 12 (0.6) menor= 3 (0.15) igual= 5 (0.25)
mayor= 12 (0.571429) menor= 4 (0.190476) igual= 5 (0.238095)
mayor= 13 (0.65) menor= 3 (0.15) igual= 4 (0.2)
mayor= 13 (0.619048) menor= 3 (0.142857) igual= 5 (0.238095)
mayor= 14 (0.666667) menor= 2 (0.0952381) igual= 5 (0.238095)
mayor= 17 (0.138211) menor= 18 (0.146341) igual= 88 (0.715447)
mayor= 16 (0.136752) menor= 16 (0.136752) igual= 85 (0.726496)
mayor= 17 (0.141667) menor= 17 (0.141667) igual= 86 (0.716667)
mayor= 17 (0.140496) menor= 16 (0.132231) igual= 88 (0.727273)
mayor= 16 (0.134454) menor= 17 (0.142857) igual= 86 (0.722689)
mayor= 21 (0.173554) menor= 15 (0.123967) igual= 85 (0.702479)
mayor= 16 (0.130081) menor= 19 (0.154472) igual= 88 (0.715447)
mayor= 17 (0.141667) menor= 17 (0.141667) igual= 86 (0.716667)
mayor= 16 (0.136752) menor= 18 (0.153846) igual= 83 (0.709402)
mayor= 17 (0.139344) menor= 15 (0.122951) igual= 90 (0.737705)
mayor= 38 (0.745098) menor= 6 (0.117647) igual= 7 (0.137255)
mayor= 36 (0.72) menor= 7 (0.14) igual= 7 (0.14)
mayor= 38 (0.77551) menor= 6 (0.122449) igual= 5 (0.102041)
mayor= 40 (0.754717) menor= 6 (0.113208) igual= 7 (0.132075)
mayor= 40 (0.8) menor= 6 (0.12) igual= 4 (0.08)
mayor= 36 (0.72) menor= 7 (0.14) igual= 7 (0.14)
mayor= 38 (0.76) menor= 5 (0.1) igual= 7 (0.14)
mayor= 39 (0.735849) menor= 7 (0.132075) igual= 7 (0.132075)
mayor= 41 (0.745455) menor= 7 (0.127273) igual= 7 (0.127273)
mayor= 39 (0.735849) menor= 7 (0.132075) igual= 7 (0.132075)
mayor= 2512 (0.763526) menor= 24 (0.00729483) igual= 754 (0.229179)
mayor= 2528 (0.765133) menor= 28 (0.00847458) igual= 748 (0.226392)
mayor= 2503 (0.757796) menor= 25 (0.00756888) igual= 775 (0.234635)
mayor= 2491 (0.758757) menor= 25 (0.00761499) igual= 767 (0.233628)
mayor= 2514 (0.757914) menor= 24 (0.00723545) igual= 779 (0.234851)
mayor= 2480 (0.750151) menor= 24 (0.00725953) igual= 802 (0.242589)
mayor= 2520 (0.76179) menor= 28 (0.00846433) igual= 760 (0.229746)
mayor= 2539 (0.766144) menor= 23 (0.00694025) igual= 752 (0.226916)
mayor= 2493 (0.75249) menor= 28 (0.00845155) igual= 792 (0.239058)
mayor= 2522 (0.767265) menor= 27 (0.00821418) igual= 738 (0.224521)
mayor= 42 (0.7) menor= 18 (0.3) igual= 0 (0)
mayor= 39 (0.672414) menor= 19 (0.327586) igual= 0 (0)
mayor= 37 (0.637931) menor= 21 (0.362069) igual= 0 (0)
mayor= 36 (0.631579) menor= 21 (0.368421) igual= 0 (0)
mayor= 41 (0.683333) menor= 19 (0.316667) igual= 0 (0)
mayor= 41 (0.694915) menor= 18 (0.305085) igual= 0 (0)
mayor= 36 (0.631579) menor= 21 (0.368421) igual= 0 (0)
mayor= 40 (0.689655) menor= 18 (0.310345) igual= 0 (0)
mayor= 38 (0.644068) menor= 21 (0.355932) igual= 0 (0)
mayor= 37 (0.637931) menor= 21 (0.362069) igual= 0 (0)
mayor= 96 (0.849558) menor= 14 (0.123894) igual= 3 (0.0265487)
mayor= 92 (0.828829) menor= 16 (0.144144) igual= 3 (0.027027)
mayor= 87 (0.805556) menor= 17 (0.157407) igual= 4 (0.037037)
mayor= 89 (0.816514) menor= 17 (0.155963) igual= 3 (0.0275229)
mayor= 93 (0.830357) menor= 16 (0.142857) igual= 3 (0.0267857)
mayor= 94 (0.839286) menor= 15 (0.133929) igual= 3 (0.0267857)
mayor= 90 (0.833333) menor= 17 (0.157407) igual= 1 (0.00925926)
mayor= 93 (0.837838) menor= 15 (0.135135) igual= 3 (0.027027)
mayor= 95 (0.848214) menor= 15 (0.133929) igual= 2 (0.0178571)
mayor= 90 (0.810811) menor= 18 (0.162162) igual= 3 (0.027027)
mayor= 1047 (0.980337) menor= 21 (0.0196629) igual= 0 (0)
mayor= 1060 (0.978763) menor= 23 (0.0212373) igual= 0 (0)
mayor= 1054 (0.979554) menor= 22 (0.0204461) igual= 0 (0)
mayor= 1052 (0.979516) menor= 22 (0.0204842) igual= 0 (0)
mayor= 1053 (0.978625) menor= 22 (0.0204461) igual= 1 (0.000929368)
mayor= 1061 (0.979686) menor= 22 (0.0203139) igual= 0 (0)
mayor= 1065 (0.97886) menor= 23 (0.0211397) igual= 0 (0)
mayor= 1070 (0.982553) menor= 19 (0.0174472) igual= 0 (0)
mayor= 1072 (0.97989) menor= 22 (0.0201097) igual= 0 (0)
mayor= 1046 (0.978485) menor= 23 (0.0215154) igual= 0 (0)
mayor= 170 (0.894737) menor= 15 (0.0789474) igual= 5 (0.0263158)
mayor= 173 (0.905759) menor= 13 (0.0680628) igual= 5 (0.026178)
mayor= 174 (0.90625) menor= 12 (0.0625) igual= 6 (0.03125)
mayor= 172 (0.905263) menor= 13 (0.0684211) igual= 5 (0.0263158)
mayor= 171 (0.909574) menor= 13 (0.0691489) igual= 4 (0.0212766)
mayor= 169 (0.889474) menor= 18 (0.0947368) igual= 3 (0.0157895)
mayor= 172 (0.914894) menor= 11 (0.0585106) igual= 5 (0.0265957)
mayor= 172 (0.895833) menor= 15 (0.078125) igual= 5 (0.0260417)
mayor= 179 (0.908629) menor= 13 (0.0659898) igual= 5 (0.0253807)
mayor= 171 (0.895288) menor= 16 (0.0837696) igual= 4 (0.0209424)
mayor= 1182 (0.964898) menor= 43 (0.035102) igual= 0 (0)
mayor= 1200 (0.967742) menor= 40 (0.0322581) igual= 0 (0)
mayor= 1170 (0.966144) menor= 41 (0.0338563) igual= 0 (0)
mayor= 1185 (0.964984) menor= 43 (0.0350163) igual= 0 (0)
mayor= 1184 (0.964955) menor= 43 (0.0350448) igual= 0 (0)
mayor= 1204 (0.967068) menor= 41 (0.0329317) igual= 0 (0)
mayor= 1183 (0.968878) menor= 38 (0.031122) igual= 0 (0)
mayor= 1195 (0.964487) menor= 44 (0.0355125) igual= 0 (0)
mayor= 1173 (0.965432) menor= 42 (0.0345679) igual= 0 (0)
mayor= 1186 (0.965798) menor= 42 (0.034202) igual= 0 (0)
mayor= 207 (0.721254) menor= 5 (0.0174216) igual= 75 (0.261324)
mayor= 200 (0.716846) menor= 5 (0.0179211) igual= 74 (0.265233)
mayor= 205 (0.724382) menor= 2 (0.00706714) igual= 76 (0.268551)
mayor= 203 (0.725) menor= 3 (0.0107143) igual= 74 (0.264286)
mayor= 198 (0.71223) menor= 5 (0.0179856) igual= 75 (0.269784)
mayor= 207 (0.741935) menor= 3 (0.0107527) igual= 69 (0.247312)
mayor= 199 (0.700704) menor= 7 (0.0246479) igual= 78 (0.274648)
mayor= 184 (0.673993) menor= 5 (0.018315) igual= 84 (0.307692)
mayor= 207 (0.716263) menor= 5 (0.017301) igual= 77 (0.266436)
mayor= 185 (0.665468) menor= 4 (0.0143885) igual= 89 (0.320144)
mayor= 20 (0.8) menor= 4 (0.16) igual= 1 (0.04)
mayor= 21 (0.75) menor= 4 (0.142857) igual= 3 (0.107143)
mayor= 22 (0.785714) menor= 3 (0.107143) igual= 3 (0.107143)
mayor= 20 (0.740741) menor= 4 (0.148148) igual= 3 (0.111111)
mayor= 20 (0.740741) menor= 4 (0.148148) igual= 3 (0.111111)
mayor= 21 (0.777778) menor= 3 (0.111111) igual= 3 (0.111111)
mayor= 17 (0.708333) menor= 4 (0.166667) igual= 3 (0.125)
mayor= 20 (0.740741) menor= 4 (0.148148) igual= 3 (0.111111)
mayor= 20 (0.740741) menor= 4 (0.148148) igual= 3 (0.111111)
mayor= 21 (0.777778) menor= 4 (0.148148) igual= 2 (0.0740741)
mayor= 244 (0.650667) menor= 14 (0.0373333) igual= 117 (0.312)
mayor= 244 (0.654155) menor= 11 (0.0294906) igual= 118 (0.316354)
mayor= 238 (0.650273) menor= 13 (0.0355191) igual= 115 (0.314208)
mayor= 244 (0.652406) menor= 15 (0.040107) igual= 115 (0.307487)
mayor= 241 (0.649596) menor= 17 (0.0458221) igual= 113 (0.304582)
mayor= 237 (0.638814) menor= 16 (0.0431267) igual= 118 (0.318059)
mayor= 242 (0.640212) menor= 17 (0.0449735) igual= 119 (0.314815)
mayor= 234 (0.63587) menor= 14 (0.0380435) igual= 120 (0.326087)
mayor= 240 (0.648649) menor= 14 (0.0378378) igual= 116 (0.313514)
mayor= 243 (0.648) menor= 15 (0.04) igual= 117 (0.312)
mayor= 202 (0.438178) menor= 32 (0.0694143) igual= 227 (0.492408)
mayor= 204 (0.440605) menor= 28 (0.0604752) igual= 231 (0.49892)
mayor= 205 (0.44181) menor= 34 (0.0732759) igual= 225 (0.484914)
mayor= 191 (0.417943) menor= 28 (0.0612691) igual= 238 (0.520788)
mayor= 211 (0.45671) menor= 29 (0.0627706) igual= 222 (0.480519)
mayor= 200 (0.426439) menor= 29 (0.0618337) igual= 240 (0.511727)
mayor= 203 (0.448124) menor= 32 (0.0706402) igual= 218 (0.481236)
mayor= 206 (0.441113) menor= 27 (0.0578158) igual= 234 (0.501071)
mayor= 199 (0.427039) menor= 29 (0.0622318) igual= 238 (0.51073)
mayor= 200 (0.43956) menor= 28 (0.0615385) igual= 227 (0.498901)
mayor= 1524 (0.988327) menor= 18 (0.0116732) igual= 0 (0)
mayor= 1513 (0.98631) menor= 21 (0.0136897) igual= 0 (0)
mayor= 1527 (0.98835) menor= 18 (0.0116505) igual= 0 (0)
mayor= 1515 (0.986971) menor= 20 (0.0130293) igual= 0 (0)
mayor= 1524 (0.986408) menor= 21 (0.0135922) igual= 0 (0)
mayor= 1517 (0.986988) menor= 20 (0.0130124) igual= 0 (0)
mayor= 1525 (0.985779) menor= 22 (0.0142211) igual= 0 (0)
mayor= 1505 (0.986885) menor= 20 (0.0131148) igual= 0 (0)
mayor= 1528 (0.987718) menor= 19 (0.0122818) igual= 0 (0)
mayor= 1517 (0.985705) menor= 22 (0.014295) igual= 0 (0)
mayor= 249 (0.950382) menor= 10 (0.0381679) igual= 3 (0.0114504)
mayor= 253 (0.961977) menor= 8 (0.0304183) igual= 2 (0.00760456)
mayor= 248 (0.953846) menor= 10 (0.0384615) igual= 2 (0.00769231)
mayor= 242 (0.934363) menor= 13 (0.0501931) igual= 4 (0.015444)
mayor= 260 (0.970149) menor= 7 (0.0261194) igual= 1 (0.00373134)
mayor= 259 (0.959259) menor= 9 (0.0333333) igual= 2 (0.00740741)
mayor= 240 (0.941176) menor= 12 (0.0470588) igual= 3 (0.0117647)
mayor= 253 (0.965649) menor= 7 (0.0267176) igual= 2 (0.00763359)
mayor= 239 (0.959839) menor= 8 (0.0321285) igual= 2 (0.00803213)
mayor= 246 (0.957198) menor= 10 (0.0389105) igual= 1 (0.00389105)
